Наименование  	Фото  	Состав	Цена	Увлажнение	Питание	Восстановление	Поверхностная	Подходит для кудрявых волос	Есть ли в составе силиконы?	Производство	Комментарий (если средство было в пользовании у меня или у многих учениц)
Pantene Pro-V  Густые и крепкие  Бальзам-ополаскиватель		 Aqua, Cetyl Alcohol, Stearamidopropyl Dimethylamine, Stearyl Alcohol, Glutamic Acid, Citric Acid, Parfum, Bis- Aminopropyl Dimethicone, Benzyl Alcohol, Disodium EDTA, Phenoxyethanol, Panthenol, Panthenyl Ethyl Ether, Histidine, Hexyl Cinnamal, Hydroxycitronellal, Magnesium Nitrate, Sodium Chloride, Methylchloroisothiazolinone, Magnesium Chloride, Methylisothiazolinone	Средняя				+		+	ЕС РФ/СНГ	
Pantene Pro-V  Интенсивное восстановление Маска для волос 		Aqua, stearyl alcohol, bis-aminopropyl dimethicone, behentrimonium methosulfate, cetyl alcohol, parfum, isopropyl alcohol, benzyl alcohol, disodium edta, histidine, panthenol, panthenyl ethyl ether, citric acid, hexyl cinnamal, propylene glycol, magnesium nitrate, bambusa vulgaris shoot extract, biotin, methylchloroisothiazolinone, magnesium chloride, lactic acid, sodium benzoate, methylisothiazolinone, vitis vinifera seed extract	Средняя 				 +		 +	РФ/СНГ	
Perfleor  Special edition  Маска для реконструкции поврежденных волос с кератином		Aqua, Behentrimonium Methosulfate, Cetearyl Alcohol, Stearamidopropyl Dimethylamine, Quaternium 87, Poloxamer 188, Hydrolyzed Keratin, Creatine, Glycerin, Hydrolyzed Wheat Protein, Chamomilla Recutita (Camomile) Extract, Hydrogenated Ethylhexyl Olivate ,Hydrogenated Olive Oil Unsaponifiables, Phenoxyethanol, PPG3 Capyryly Ether, Simmondsia Chinensis (Jojoba) Seed Oil, Pantenol, Arctium Lappa Root Extract, Sweet Almond Oil, Burdock (Arctium Lappa) Root Infused Oil, Butyrospermum Parki (Shea) Butter, Argania Spinosa (Argan) Oil, Perfluorodecaline, Perfucro-nethulcyclohexylpipericlin, Tocopheryl Acetale: lactic Acid, Ethylhexy/glycerin, Hydroxyethylcellulose, Allantoin, Tocopherol (mixed), Beta-Sitosterol. Squalene, Disodium EDTA	Высокая			+		+	+	РФ/СНГ	
PETAL FRESH  Кондиционер для волос с семенами винограда и маслом оливы		Aqua (water), caprylic/capric triglyceride (derived from coconut oil), glycerin (derived from vegetable oil), behenyl alcohol (derived from coconut oil), cetearyl alcohol (derived from coconut oil), cetyl alcohol (derived from coconut oil), stearyl alcohol (derived from coconut oil), hydroxypropyl methylcellulose (derived from cotton fiber), *olea europaea (olive) fruit oil, helianthus annuus (sunflower) seed oil, tocopheryl acetate (vitamin e), panthenol (vitamin b5), *vitis vinifera (grape) seed extract, *salvia officinalis (sage) leaf extract, orbignya oleifera (babassu) seed oil, *tussilago farfara (coltsfoot) flower extract, *achillea millefolium (yarrow) extract, *equisetum arvense (horsetail) extract, *rosmarinus officinalis (rosemary) leaf extract, *althaea officinalis (marshmallow) root extract, *chamomilla recutita (chamomile) flower extract, *melissa officinalis (lemon balm) leaf extract, *thymus vulgaris (thyme) extract, dehydroacetic acid (derived from cane sugar), ethylhexylglycerin (derived from vegetable oil), **fragrance. *certified organic ingredients. **natural fragrance with essential oils.	Высокая	+	+			+		США	Можно использовать как маску. Большое количество жирных спиртов
PRIMATERRA LABORATORY восстанавливающая маска 17 аминокислот		Aqua, Cetearyl Alcohol, Cetrimonium chloride, Amodimethicone, Trideceth-12, Hydrolyzed Wheat Protein, Macadamia Ternifolia (Macadamia Nut) Seed Oil, Lysine, Histidine, Arginine, Aspartic acid, Threonine, Serine, Glutamic acid, Proline, Glycine, Alanine, Valine, Methionine, Isoleucine, Leucine, Tyrosine, Phenylalanine, Cysteine, Guar Hydroxypropyltrimonium Chloride, Lactic Acid, Fragrance (Parfum).  	Средняя	+		+				РФ/СНГ	
Professional Organic Oil Увлажнение и Гладкость Облепиховая увлажняющая маска для волос		Aqua, Hippophae Rhamnoides Fruit Oil, Argania Spinosa Kernel Oil, Cetearyl Alcohol, Glycerin, Behenamidopropyl Dimethylamine, Glyceryl Stearate, Behentrimonium Methosulfate, C10-40 Isoalkylamidopropylethyldimonium Ethosulfate, Cetyl Alcohol, Phenyl Trimethicone, Cyclopentasiloxane, Amodimethicone, Cetrimonium Chloride, Trideceth‐12, Laurdimonium Hydroxypropyl Hydrolyzed Keratin, Polyquaternium-67, Parfum, Lactic Acid, Benzoic Acid, Sorbic Acid, Dehydroacetic Acid, Benzyl Alcohol, CI 11920.	Средняя		+					РФ/СНГ	18-МЕА.  Упор на питание
Professional Organic Oil  Sos-repair hair mask  Маска для волос на аргановом масле восстанавливающая для сухих и поврежденных волос		Aqua, Cocos Nucifera Oil, Argania Spinosa Kernel Oil, Cetearyl Alcohol, Glycerin, Behenamidopropyl Dimethylamine, Glyceryl Stearate, Behentrimonium Methosulfate, C10-40 Isoalkylamidopropylethyldimonium Ethosulfate, Cetyl Alcohol, Phenyl Trimethicone, Cyclopentasiloxane, Laurdimonium Hydroxypropyl Hydrolyzed Keratin, Amodimethicone, Cetrimonium Chloride, Trideceth‐12, Polyquaternium-67, Parfum, Lactic Acid, Benzoic Acid, Sorbic Acid, Dehydroacetic Acid, Benzyl Alcohol.	Средняя		+				+	РФ/СНГ	18-МЕА.  Упор на питание
Protokeratin  KGS Hydra Aid Moisturizing Mask  Экспресс-маска для сухих волос		Water, Cetearyl Alcohol, Hydrogenated Castor Oil/Sebacic Acid Copolymer, Gliceryl Stearate, Cetrimonium Chloride, Lanolin, C10-40 Isoalkylamidopropylethyldimonium Ethosulfate, Hydrolyzed Keratin, Hydrolized Wheat Protein, Hydrolyzed Rye Protein, Hydrolyzed Oat Protein, Dipropylene Glycol, Cocos Nucifera (Coconut) Oil, Olive oil refined, Butyrospermum Parkii, Panthenol, Fragrance, Lactic Acid, Dehydroacetic Acid, Bensoic Acid, Phenohyethanol	Высокая		+	+		+		РФ/СНГ	Комплексная маска с 18-МЕА
Rated Green Real Shea - Real Change Treatment Cold Pressed Shea Butter		Water,Dimethicone, Cetearyl Alcohol, Stearyl Alcohol, Propylene Glycol, Steartrimonium Chloride, Butyrospermum Parkii (Shea) Butter, Glycine Soja (Soybean) Seed Extract, Persea Gratissima (Avocado) Oil, Glycerin, Brassicamidopropyl Dimethylamine, Isoamyl Laurate, Butylene Glycol, Aspartic Acid, Stearamidopropyl Dimethylamine, Hydroxyethylcellulose, Caprylic/Capric Triglyceride, Propylene Glycol Dicaprylate/Dicaprate, Dimer Dilinoleyl Dimer Dilinoleate, PPG-1 Trideceth-6, Polyquaternium-37, Pentylene Glycol,1,2-Hexanediol, Octanediol, Ethylhexylglycerin, Sodium Benzoate, Potassium Sorbate, Fragrance(Parfum), Benzyl Benzoate	Средняя	 +	 +				 +	Корея	Комбинированная маска с упором на питание и увлажнение
Raywell  BIO HIDRA  Маска увлажняющая		Water, Cetyl alcohol, Myristyl alcohol, Behentrimonium chloride, Cetrimonium chloride, Phenoxyethanol, Benzoic acid, Dehydroacetic acid, Ethylhexylglycerin, Polyaminopropyl, Biguanide, Imidazolidinyl urea, Parfum, Steardimonium hydroxypropyl panthenyl peg-7 dimethicone phosphate chloride, Disodium edta, Camellia japonica seed oil, Citric acid, C.I. 19140/acid yellow 23, C.I. 14720/acid red 14, C.I. 16255/acid red 18, C.I 73015/acid blue 74, C.I. 28440/brilliant black 1	Высокая				+	+		ЕС	Можно использовать как кондиционер
Redken Acidic Bonding Concentrate 16% citric acid		Aqua / Water / Eau, Cetearyl Alcohol, Behentrimonium Chloride, Dimethicone, Amodimethicone, Isopropyl Alcohol, Sodium Citrate, Glycerin, Citric Acid, C15-19 Alkane, Dicetyldimonium Chloride, Parfum / Fragrance, Phenoxyethanol, Cetyl Esters, Hydroxypropyl Guar, Limonene, Trideceth-6, Dilauryl Thiodipropionate, Cetrimonium Chloride, Linalool, Citronellol, Trisodium Hedta	Высокая				+		 +	ЕС	Хорошая закрывашка и средство для распутывания, кислый pH
Restorex  Кондиционер для роста здоровых волос с экстрактом плюща и витамином Е		Aqua/Water, Cetearyl Alcohol, Cyclopentasiloxane, Stearamidopropyl Dimethylamine, Behentrimonium Chloride, Paraffinum Liquidum, Cetrimonium Chloride, Benzyl Alcohol, Parfum/Fragrance, Panthenol, Guar Hydroxypropyltrimonium Chloride, Amodimethicone, Hedera Helix Leaf Extract, Propylene Glycol, Trideceth-12, Linalool, Equisetum Arvense Extract, Amyl Cinnamal, Hexyl Cinnamal, Limonene, Geraniol, Alpha-Isomethylionone, Coumarin, Hydrolyzed Keratin, Ci 14720, Ci 42090, Methylchloroisothiazolinone, Methylisothiazolinone.	Высокая				+		 +	Турция	
Revlon Professional Restart Recovery Mask 		Aqua (Water), Cetearyl Alcohol, Behentrimonium Chloride, Dimethicone, Glycerin, Stearamidopropyl Dimethylamine, Hydrogenated Ethylhexyl Olivate, Cetyl Esters, Parfum (Fragrance), Isododecane, Quaternium-80, Panthenol, Phenoxyethanol, Hydrogenated Olive Oil Unsaponifiables, Caprylyl Glycol, Isopropyl Alcohol, Lactic Acid, Ethylhexylglycerin, Hexylene Glycol, Citric Acid, Sodium Chloride, CI 17200 (Red 33), CI 19140 (Yellow 5), CI 42090 (Blue 1).	Высокая				+		+	ЕС	
RICE DAY Rice nutrition conditioner Кондиционер для волос Увлажнение и объем (для сухих волос)		Water, Sorbitol, Dimethicone, Behentrimonium Chloride, Aminopropyl Dimethicone, Arginine, PEG-12 Dimethicone, Oryza Sativa (Rice) Bran Oil, Saccharomyces/Rice Ferment Filtrate, Stearyl Alcohol, PEG-150 Stearate, Polyglyceryl-2 Diisostearate, Hydroxyethylcellulose, Benzoic Acid, Glycolic Acid, Butylene Glycol, Sodium Hyaluronate, Isopropyl Alcohol, 1,2-Hexanediol, Fragrance, Linalool.	Средняя	+	+				+	Корея	Пленочный кондиционер с активами
RICHE   R-PLEX  Маска с пептидами для восстановления поврежденных волос		Mentha piperita water, cocos nucifera (coconut) oil, argania spinosa oil, astrocaryum murumuru seed butter, astrocaryum tucuma seed butter, macadamia ternifolia seed oil, glycerin, sodium pca, betaine, cetyl alcohol, stearyl alcohol, inulin, hydrolyzed corn protein, hydrolyzed wheat protein, hydrolyzed soy protein, hydrolyzed glycosaminoglycans, hydrolyzed oat protein, sodium hyaluronate, pisum sativum (pea) peptide, hydroxyethylcellulose, sodium lactate, arginine, aspartic acid, pca, glycine, alanine, serine, valine, proline, threonine, isoleucine, histidine, phenylalanine, lactic acid, hexapeptide-11, behenamidopropyl dimethylamine, dipalmitoylethyl hydroxyethylmonium methosulfate, hydrolyzsed chestnut extract, benzyl alcohol, vitis vinifera (grape) fruit cell extract, hydrolyzed eruca sativa leaf, hydrolyzed walnut extract, silica, fragrance (naturally derived), citric acid, sodium benzoate, potassium sorbate	Высокая	+	+	+		+		РФ/СНГ	Комплексная маска, Prodew® 500
Rudolph Care Forever Soft Conditioner		Aqua, Aloe Barbadensis Leaf Extract (Aloe Vera), Cetearyl Alcohol, Glycerin, Behenamidopropyl Dimethylamine, Lactic Acid, Mel Extract (Honey), Rosa Canina Fruit Extract (Rosehip), Calendula Officinalis Flower Water (Pot Marigold), Rubus Ideaus Fruit Extract (Raspberry), Aloe Barbedensis Leaf Water (Aloe Vera Water), Glyceryl Caprylate, Persea Gratissima Oil (Avocado Oil), Hydrolyzed Wheat Protein, Hydrolyzed Wheat Starch, Panthenol, Silk Amino Acids, Tocopheryl Acetate (Vitamin E), Sodium Chloride, Parfum (Natural), Citric Acid, Sodium Benzoate, Potassium Sorbate, Benzoic Acid	Высокая	+		+		+		ЕС	
Salerm 21  Leave in Conditioner  Профессиональный бессульфатный увлажняющий бальзам-кондиционер 21в1 для сухих, окрашенных, натуральных и поврежденных волос с протеинами шелка		Aqua (Water/Eau), Propylene Glycol, Cetyl Alcohol, Glycerin, Cetrimonium Chloride, Hydrolyzed Silk, Hydroxypropyltrimonium Hydrolyzed Silk, Panthenol, Tocopherol, Lecithin, Amodimethicone, Xanthan Gum, Carbomer, Trideceth-12, Dimethicone, C10-40 Isoalkylamidopropylethyldmonium Ethosulfate, Tetrasodium Glutamate Diacetate, Dipropylene Glycol, Pentylene Glycol, Benzyl Alcohol, Citric Acid, Sodium Hydroxide, Disodium Edta, Triethylene Glycol, Phenoxyethanol, Potassium Sorbate, Parfum (Fragrance), Alpha-Isomethyl Ionone, Coumarin, Ci 19140 (Fd&C Yellow No. 5)	Высокая	+		+		+	+	ЕС	Можно использовать как маску. Кудрям можно пробовать, но только если нет проблем с завитком 18-МЕА
Schwarzkopf Gliss Kur Ultimate Repair Бальзам Экстремальное восстановление		  Aqua (Water, Eau) · Cetearyl Alcohol · Quaternium-87 · Stearamidopropyl Dimethylamine · Dimethicone · Distearoylethyl Hydroxyethylmonium Methosulfate · Isopropyl Myristate · Hydrolyzed Pearl · Hydrolyzed Keratin · Dimethiconol · Citric Acid · Propylene Glycol · Polyquaternium-10 · Glycerin · Parfum (Fragrance) · Phenoxyethanol · Sodium Methylparaben · Linalool · Limonene · Benzyl Salicylate · Alpha-Isomethyl Ionone · Hexyl Cinnamal · Geraniol · Benzyl Alcohol · Coumarin	Средняя				+		+	ЕС РФ/СНГ	Ученицы оценили, как хорошую закрывашку
Schwarzkopf Professional  BONACURE Hyaluronic Moisture Kick  Увлажняющая маска для сухих и нормальных волос		Aqua, cetearyl alcohol, isopropyl myristate, behentrimonium chloride, distearoylethyl hydroxyethylmonium methosulfate, steardimonium hydroxypropyl hydrolyzed keratin, hydrolyzed keratin, dimethylsilanol hyaluronate, stearamidopropyl dimethylsmine, cetyl palmitate, dimethicone, parfum, citric acid, phenoxyethanol, methylparaben, isopropyl alcohol, cetrimonium chloride, panthenol, guar hydroxypropyltrimonium chloride, linalool, citronellol, butylphenyl methylpropinal, alpha-isomethyl ionone, cl 42090.	Высокая	+		+			+	ЕС	Маска на восстановление и увлажнение
Schwarzkopf Professional  Bonacure, Glycerol Moisture Kick  Увлажняющая маска для сухих и нормальных волос		Aqua (Water, Eau), PVP, Dimethicone, Glycerin, Dicaprylyl Carbonate, Phenyl Trimethicone, Octyldodecyl Stearate, Phenoxyethanol, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, PEG-40 Hydrogenated Castor Oil, Glyceryl Oleate, Trimethylsiloxysilicate, Dimethiconol Isohexadecane, Parfum (Fragrance), Methylparaben, Ethylparaben, Propylene Glycol Polysorbate 80, Citric Acid, Ethylhexylglycerin, Linalool, Hexyl Cinnamal, Hydrolyzed Silk, Butylene Glycol, Alpha-Isomethyl Ionone, Citronellol, Benzyl Alcohol, Eugenol, Geraniol, Methyl Benzoate, Propylparaben	Высокая	+			+		+	ЕС	Можно использовать как кондиционер
Selective    Маска аминокератиновая для сильно поврежденных волос Artistic Flair,		 aqua, cetearyl alcohol, trimethylsilylamodimethicone, keratin amino acid, cetrimonium chloride, guar hydroxypropyltrimonium chloride, hydrolyzed wheat gluten, citric acid, panthenol, parfum, trideceth-12, amodimethicone, behenoyl pg-trimonium chloride, cetyl alcohol, propylene glycol, hexylene glycol, phenoxyethanol, methylparaben, ethylparaben, propylpereben, hexyl cinnamal.	Средняя	+		 +			 +	ЕС	В средстве больше упор на восстановление, но частично ожидается и увлажняющее действие
Shea Moisture  Strength & Color Care Masque  Укрепляющая маска для сохранения яркости окрашенных волос		Water, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Stearyl Alcohol, Cetyl Alcohol, Butyrospermum Parkii (Shea) Butter, Theobroma Cacao (Cocoa) Seed Butter, Behentrimonium Methosulfate, Glycerin (Vegetable), Behentrimonium Chloride, Hydrogenated Vegetable Oil, Macadamia Ternifolia Seed Oil, Melia Azadirachta Flower Extract, Hydrolyzed Rice Protein, Coccinia Indica Fruit Extract, Viola Odorata (Violet) Flower Extract, Orchis Mascula (Early Purple Orchid) Flower Extract, Oryza Sativa (Rice) Extract, Tocopheryl Acetate, Hydroxyethylcellulose, Panthenol, Cetrimonium Chloride, Citric Acid, Benzoic Acid, Triethyl Citrate, Caprylyl Glycol, Fragrance (Essential Oil Blend)	Высокая	+	+	+		+		США	Комплексная маска, но в основном питание. Протеин риса - очень качественное сырье
SmoRodina  Кондиционер для волос, 330 мл		Aqua, Distearoylethyl Dimonium Chloride (and) Cetearyl Alcohol, Hydrolyzed Corn Protein (and) Hydrolyzed Wheat Protein* (and) Hydrolyzed Soy Protein*(гидролизованные протеины кукурузы, пшеницы, сои), Hydrolyzed Quinoa (гидролизованные протеины киноа), Maltodextrin (and) Biosaccharide gum-1(Увлажняющий полисахарид из бурых водорослей), Aloe Barbadensis Leaf Juice(сок алоэ), Crambe Abyssinica Seed Oil Phytosterol Esters( Фитостеролы абиссинской горчицы), Guar Hydroxypropyltrimonium Chloride(катионный гуар), Citrus Sinensis Oil (эфирное масло апельсина), Mentha Piperita Oil(эфирное масло мяты), Tocopheryl Acetate (витамин Е), Lactic Acid(молочная кислота), Water (and) Dehydroacetic Acid (and) Benzyl Alcohol(зеленый консервант).				 +		 +		РФ/СНГ	Упор на восстановление, но единично увлажняющие компоненты присутствуют (для баланса формулы.)
Studio  Бальзам для объема Volume up		AQUA (WATER), CETEARYL ALCOHOL, CETRIMONIUM CHLORIDE, TRIMETHYSILYLAMODIMETHICONE, PROFEUMO/ PARFUM (FRAGRANCE), C11-15 PARETH-5, C11-15 PARETH-9, AMIDIMETHICONE, BENZYL ALCOHOL, GOSSYPIUM OIL (GOSSYPIUM HERBACEUM (COTTON) SEED OIL), CITRIC ACID, PANTHENOL, PROPYLENE GLYCOL, TRIDECETH-10, METHYLCLOROISOTHAZOLINONE, METHYLISO THIAZOLINONE, PAO 12M	Средняя 				 +		 +	Ес 	Ученицы нашли и посоветовали как закрывашку
Sueno Botox effect  "Абссолютное возрождение 16 масел"  Маска для сухих и повреждённых		Agua, Cetearyl Alcohol, Panthenol, Isoamyl Laurate, Isoamyl Cocoate, Behenamidopropyl Dimethylamine, Behentrimonium Methosulfate, Hydroxyethyl Urea, Hydrolyzed Silk protein, Hydrolyzed Wheat protein, Ceramide III,Glycosphingolipids, Simmondsia Chinensis (Jojoba) Seed Oil, Argania spinosa (Argan) Oil, Olea Europaea Oil, Macadamia Ternifolia Seed Oil, Coconut Oil, Butyrospermum Parkii (Shea) Butter, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Prunus Armeniaca (Apricot) Kernel Oil, Linum usitatissimum Seed Oil, Hippophae Rhamnoides Oil, Rubus Chamaemorus Seed Oil, Vitis Vinifera Seed Oil, Cucurbita pepo (PUMPKIN) Oil, Persea gratissima (Avocado) Oil, Plukenetia Volubilis (Inca Peanut) Seed Oil, Ricinus Communis (Castor) Seed Oil, Glycerin, Dipeptide Diaminobutyroyl Benzylamide Diacetate, Lactic Acid, Dehydroacetic Acid, Benzyl Alcohol, Benzoic acid, Parfum.	Средняя	+	+	+		+		РФ/СНГ	Комплексная маска, не даст красивый визуал, работа внутри. 
Sueno Botox effect  "Сохранение цвета и питание"  Маска с фосфолипидами и AHA - кислотами		Agua, Cetearyl Alcohol, Panthenol, Isoamyl Laurate, Isoamyl Cocoate, Behenamidopropyl Dimethylamine, Behentrimonium Methosulfate, Hydroxyethyl Urea, Phospholipids, Sphingolipids, Saccharum Officinarum (Sugarcane) Extract , Citrus Limon (Lemon) Peel Extract, Lactic Acid, Malic Acid, Citric Acid,Vaccinium Macrocarpon (Cranberry) Seed Oil, Rubus Idaeus (Raspberry) Seed Oil, Macadamia Ternifolia Seed Oil, Rubus Chamaemorus Seed Oil, Vitis Vinifera Seed Oil, Glycerin, Dipeptide Diaminobutyroyl Benzylamide Diacetate, Dehydroacetic Acid, Benzyl Alcohol, Benzoic acid, Parfum.	Средняя	+	+			+		РФ/СНГ	Комплексная маска, не даст красивый визуал, работа внутри 
SYNERGETIC  Натуральный бальзам  Максимальное питание и восстановление		Aqua (вода); Cetearyl Аlcohol* (натуральный эмульгатор); Distearoylethyl Dimonium Chloride* (кондиционер растительного происхождения); Brassica Napus Seed Oil (масло рапса); Inulin* (натуральный пребиотик); Simmondsia Chinensis Seed Oil (масло жожоба); Macadamia Ternifolia Seed Oil (масло макадамии); Persea Gratissima Fruit Oil (масло авокадо); Ricinus Communis Seed Oil* (касторовое масло); Glycerin* (увлажняющий компонент растительного происхождения); Hydroxypropyl Guar Hydroxypropyltrimonium Chloride (кондиционирующий компонент); Saccharide Isomerate* (натуральный увлажнитель); Hydroxyethylcellulose (натуральный стабилизатор); Benzyl Alcohol* (природный консервант); Dehydroacetic Acid*, Benzoic Acid* (натуральные консерванты); Parfum (гипоаллергенная парфюмерная композиция). * ECOCERT approval	Средняя	+	+			+		РФ/СНГ	Можно использовать как маску, увлажнение слабое
TAHE Organic Care  Nutritium Mask 		Aqua (Water), Cetyl Alcohol, Glycine Soja Oil, Cetrimonium Chloride, Pentaclethra Macroloba Seed Oil, Limnanthes Alba Seed Oil, Bertholetia Excelsa Seed Oil, Argania Spinosa Kernel Oil, Camellia Japonica Seed Oil, PEG-2 Dimeadowfoamamidoethylmonium Methosulfate, Panthenol, Citric Acid, Phenoxyethanol, Benzoic Acid, Dehydroacetic Acid, Parfum (Fragrance)	Высокая		 +			 +		ЕС	
Tashe  Lipid Filler Restoration of Cuticle Липидный филлер 		Aqua, Cetearyl Alcohol, Paraffinum Liquidum, Isopropyl Myristate, Behentrimonium Chloride, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Cetrimonium Chloride, Mangifera Indica (Mango) Seed Oil, Butylene Glycol, Sorbitol, Triticum Vulgare (Wheat) Germ Oil, Parfum, Behenamidopropyl Dimethylamine, Dipalmitoylethyl Hydroxyethylmonium Methosulfate, Cetyl Alcohol, Stearyl Alcohol, Lactic Acid, Hydrolyzed Silk, Hydrolyzed Rice Protein, Hydrolyzed Wheat Protein, Guar Hydroxypropyltrimonium Chloride, Benzyl Alcohol, Methylisothiazolinone, Methylchloroisothiazolinone, Hexy! Cinnamal, Limonene, Linalool, E150 d.	Высокая	  +	 +					РФ/СНГ	Упор на питание 
Tefia AMBIENT Маска липидная для интенсивного восстановления волос  		AQUA, CETEARYL ALCOHOL, MYRISTYL ALCOHOL, BEHENAMIDOPROPYL DIMETHYLAMINE, CAPRYLIC/CAPRIC TRIGLYCERIDE, BEHENTRIMONIUM CHLORIDE, GLYCERYL STEARATE, BUTYROSPERMUM PARKII (SHEA) BUTTER, ROSA CANINA FRUIT OIL, CAMELLIA OLEIFERA SEED OIL, SCLEROCARYA BIRREA SEED OIL, ORBIGNYA OLEIFERA (BABASSU) SEED OIL, LACTIC ACID, BENZOPHENONE-4, PHENOXYETHANOL, SODIUM BENZOATE, ISOPROPYL ALCOHOL, POTASSIUM SORBATE, PARFUM, HEXYL CINNAMAL. 	Высокая		 +			 +		РФ/СНГ	
Tefia Mycare Moisturizing Mask for Dry and Curly Hair  Увлажняющая маска для сухих и вьющихся волос		aqua (water), cetearyl alcohol, behentrimonium chloride, dimethicone, cocamide mea, cera alba, c12-15 alkyl benzoate, cyclopentasiloxane, dimethiconol, divinyldimethicone/dimethicone copolymer, c12-13 pareth-23, c12-13 pareth-3, polyquaternium-10, cetrimonium chloride, hydrolyzed wheat protein, butyrospermum parkii (shea) butter, prunus amygdalus dulcis (sweet almond) oil, lactic acid, citrus limon (lemon) peel extract, saccharum officinarum (sugar cane) extract, malic acid, citric acid, propylene glycol, glycerin, hydrolyzed caesalpinia spinosa gum, caesalpinia spinosa gum, simmondsia chinensis (jojoba) seed oil, phenoxyethanol, methylparaben, ethylparaben, propylparaben, parfum (fragrance), butylphenyl methylpropional, coumarin	Средняя	+	+		+		+	РФ/СНГ	Проходит как комплексная маска, но активы далеко и в малых количествах. Много пленок, можно использовать как кондиционер
THE DOCTOR  Деготь с ихтиолом  Маска для волос против перхоти, комплексный дерматологический уход		Aqua, Cetearyl Alcohol, Dipalmitoylethyl Hydroxyethylmonium Methosulfate, Isopropyl Palmitate, Betula Alba Oil, Ichthammol, Salix Alba Bark Extract, Quercus Robur Bark Extract, Humulus Lupulus Cone Extract, Cocos Nucifera Oil, Cetrimonium Chloride, Ceteareth-20, Citric Acid, Sodium Benzoate	Средняя				+	+		ЕС	
TRESemmé Rich Moisture  увлажняющий для сухих волос		Aqua, Cetearyl Alcohol, Dimethiconol, Stearamidopropyl Dimethylamine, Arginine, Ceramide NP, Hydrolyzed Hyaluronic Acid, Lysine HCl, Niacinamide, Panthenol, Tocopheryl Acetate, Behentrimonium Chloride, Dipropylene Glycol, Disodium EDTA, Lactic Acid, Magnesium Nitrate, Methylchloroisothiazolinone, Methylisothiazolinone, Parfum, Phenoxyethanol, Sodium Chloride, TEA-Dodecylbenzenesulfonate, Limonene, Linalool. 	Средняя	+	 +				+	РФ/СНГ	
TRESemmé  Beauty-full Volume Кондиционер		Aqua, Cetearyl Alcohol, Amodimethicone, Dimethicone, Hydrolyzed Collagen, Polyvinylpyrrolidone, Silk Amino Acids, VP/Methacrylamide/Vinyl Imidazole Copolymer, Acetic Acid, Behentrimonium Chloride, Caprylyl Glycol, Cetrimonium Chloride, Dipropylene Glycol, Disodium EDTA, Lactic Acid, Magnesium Chloride, Magnesium Nitrate, Methylchloroisothiazolinone, Methylisothiazolinone, Parfum, PEG-7 Propylheptylether, Phenoxyethanol, Phenylpropanol, Propanediol, Sodium Chloride, Stearamidopropyl Dimethylamine, Butylphenyl Methylpropional, Geraniol, Hexyl Cinnamal, Limonene, Linalool	Средняя	+		 +			+	РФ/СНГ	Можно использовать как закрывающий кондиционер
TRESemmé  Botanique Detox  Кондиционер для волос увлажняющий		Aqua, Cetearyl Alcohol, Aloe Barbadensis Leaf Juice, Arginine, Ceramide NP, Cocos Nucifera (Coconut) Oil, Lysine HCI, Behentrimonium chloride, Stearamidopropyl Dimethylamine, Dipropylene Glycol, Disodium EDTA Lactic Acid, Magnesium Nitrate, Methylchloroisothiazolinone, Methylisothiazolinone, Parfum, Sodium Chloride, Coumarin, Linalool. 	Средняя	+	+			+		РФ/СНГ	Можно использовать как маску
TRESemmé   Keratin Smooth Conditioner С кератином и маслом марулы		Aqua, Cetearyl Alcohol, Dimethicone, Stearamidopropyl Dimethylamine, Amodimethicone, Hydrolyzed Keratin, Sclerocarya Birrea Seed Oil, Acetic Acid, Behentrimonium Chloride, Cetrimonium Chloride, Dipropylene Glycol, Disodium EDTA, Lactic Acid, Magnesium Chloride, Magnesium Nitrate, Methylchloroisothiazolinone, Methylisothiazolinone, Parfum , PEG-7 Propylheptylether, Phenoxyethanol, Sodium Chloride, Benzyl Salicylate, Butylphenyl Methylpropional, Hexyl Cinnamal, Limonene, Linalool	Средняя		 +	 +			 +	РФ/СНГ	Ученицы оценили и как глубокую маску при долгой выдержке, и как поверхностный кондиционер при короткой 
Trust My Sister Emollient Hair Mask		Aqua, Cetearyl Alcohol, Behentrimonium Chloride, Isopropyl Myristate, Adansonia Digitata Seed Oil, Caprylic/Capric Triglyceride, Cetrimonium Chloride, Butyrospermum Parkii Butter, Cocos Nucifera Oil, Theobroma Cacao Seed Butter, Polyquaternium-6, Guar Hydroxypropyltrimonium Chloride, Dehydroacetic Acid, Citric Acid, Parfum, Benzyl Alcohol	Средняя		+			+		ЕС	
